City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Guaruja,BR,74.21,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
5,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Bitung,ID,79.65,moderate rain,1.4451,125.1824,K2 Lembeh
10,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
12,Zacualpan,MX,72.97,clear sky,21.25,-105.1667,La Colorada B&B
16,Charlestown,AU,73.81,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
18,Bengkulu,ID,85.93,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Vao,NC,74.71,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
30,Kavieng,PG,86.25,few clouds,-2.5744,150.7967,Nusa Island Retreat
31,Cidreira,BR,71.55,broken clouds,-30.1811,-50.2056,Hotel Castelo
33,Corrente,BR,71.37,light rain,-3.7367,-43.3394,Chapadinhense Hotel
34,Butaritari,KI,81.37,light rain,3.0707,172.7902,Isles Sunset Lodge
36,Dingle,PH,86.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
37,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
42,Yucca Valley,US,70.12,overcast clouds,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
43,Tabou,CI,78.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
44,Gamba,GA,75.88,moderate rain,-2.65,10.0,
45,Black River,JM,74.71,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
49,Katsuura,JP,73.42,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
52,Hasaki,JP,75.6,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
54,Mount Isa,AU,85.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
59,Mount Gambier,AU,71.51,scattered clouds,-37.8333,140.7667,The Commodore
62,Axim,GH,79.29,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
65,Kirakira,SB,84.33,overcast clouds,-10.4544,161.9205,SanBiz Lodge
68,Rikitea,PF,77.97,light rain,-23.1203,-134.9692,People ThankYou
70,Yaan,NG,78.78,overcast clouds,7.3833,8.5667,
73,Salalah,OM,80.58,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
74,Saint George,US,74.95,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
76,Labuhan,ID,86.54,overcast clouds,-6.8844,112.2051,DoubleFAG
78,Chisec,GT,70.59,broken clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
83,Karratha,AU,83.07,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
85,Saint-Philippe,RE,75.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Torres,BR,73.83,scattered clouds,-29.3353,-49.7269,Farol Hotel
87,Hithadhoo,MV,84.27,broken clouds,-0.6,73.0833,Scoop Guest House
89,Cockburn Town,TC,76.82,clear sky,21.4612,-71.1419,Osprey Beach Hotel
92,Fukue,JP,71.96,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
96,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
