City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Provideniya,RU,64.3833,-173.3,26.71,80,100,8.99,overcast clouds
1,Vestmanna,FO,62.1564,-7.1664,34.72,80,100,1.14,light intensity drizzle
2,Guaruja,BR,-23.9931,-46.2564,74.21,79,0,3.04,clear sky
3,Jamestown,US,42.097,-79.2353,41.02,60,93,11.01,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,55.47,85,67,3.02,broken clouds
5,Mahebourg,MU,-20.4081,57.7,75.49,88,40,9.22,scattered clouds
6,Hobart,AU,-42.8794,147.3294,60.03,83,75,0.0,light rain
7,Terrace Bay,CA,48.7834,-87.1,22.75,80,100,14.03,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,38.86,81,20,18.41,few clouds
9,Bitung,ID,1.4451,125.1824,79.65,83,100,4.85,moderate rain
10,Georgetown,MY,5.4112,100.3354,89.53,74,20,5.75,few clouds
11,Tiksi,RU,71.6872,128.8694,10.38,88,49,3.0,scattered clouds
12,Zacualpan,MX,21.25,-105.1667,72.97,71,0,4.16,clear sky
13,Kampene,CD,-3.6,26.6667,67.86,100,100,1.9,moderate rain
14,Codrington,AU,-38.2667,141.9667,64.42,68,93,12.62,overcast clouds
15,New Norfolk,AU,-42.7826,147.0587,59.67,73,100,2.13,light rain
16,Charlestown,AU,-32.95,151.6667,73.81,87,100,3.89,light rain
17,Kula,TR,38.5473,28.6498,58.28,63,98,1.57,overcast clouds
18,Bengkulu,ID,-3.8004,102.2655,85.93,67,66,5.5,broken clouds
19,Albanel,CA,48.8832,-72.4487,37.54,87,100,5.75,overcast clouds
20,Coihueco,CL,-36.6167,-71.8333,47.14,87,76,10.36,broken clouds
21,Oktyabrskiy,RU,54.4815,53.471,58.17,64,99,16.24,overcast clouds
22,Kapaa,US,22.0752,-159.319,78.78,81,76,3.0,broken clouds
23,Vao,NC,-22.6667,167.4833,74.71,60,100,18.43,overcast clouds
24,Longonjo,AO,-12.9067,15.2533,60.84,73,96,3.2,overcast clouds
25,Langsa,ID,4.4683,97.9683,91.2,58,69,3.11,broken clouds
26,Hauterive,FR,46.0901,3.4459,39.96,92,16,2.39,few clouds
27,Saskylakh,RU,71.9167,114.0833,18.77,80,96,4.36,overcast clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,62.87,99,100,13.0,heavy intensity rain
29,Albany,US,42.6001,-73.9662,47.39,83,100,1.01,overcast clouds
30,Kavieng,PG,-2.5744,150.7967,86.25,67,20,14.18,few clouds
31,Cidreira,BR,-30.1811,-50.2056,71.55,89,58,16.53,broken clouds
32,Port Alfred,ZA,-33.5906,26.891,56.17,89,44,5.21,scattered clouds
33,Corrente,BR,-3.7367,-43.3394,71.37,98,96,2.24,light rain
